side,entry_time,exit_time,entry,exit,stop,target,bars_held,reason,gross_pnl,net_pnl,return_pct,entry_ts,hour_utc,weekday,reason_grp,month
LONG,2026-02-02 03:41:00+00:00,2026-02-02 03:47:00+00:00,74735.61,75068.17,74499.31778571401,75068.17,7,target_25pct,44.498198382270196,24.453700183887925,0.24453700183887922,2026-02-02 03:41:00+00:00,3,Monday,target_25pct,2026-02
SHORT,2026-02-02 03:58:00+00:00,2026-02-02 04:04:00+00:00,76252.75,75921.0,76476.89971428592,75921.0,7,target_25pct,43.50662762982319,23.550134257453017,0.23550134257453018,2026-02-02 03:58:00+00:00,3,Monday,target_25pct,2026-02
SHORT,2026-02-03 20:42:00+00:00,2026-02-03 20:46:00+00:00,76295.62,76475.97103571433,76475.97103571433,75924.18,5,stop,-23.63845207815844,-43.6620905302366,-0.43662090530236597,2026-02-03 20:42:00+00:00,20,Tuesday,stop,2026-02
SHORT,2026-02-04 22:33:00+00:00,2026-02-04 22:37:00+00:00,73312.54,73010.94499999999,73464.98296428558,73010.94499999999,5,target_25pct,41.13825547443878,21.17939372991322,0.2117939372991322,2026-02-04 22:33:00+00:00,22,Wednesday,target_25pct,2026-02
LONG,2026-02-05 15:25:00+00:00,2026-02-05 15:25:00+00:00,67599.36,67891.84999999999,67001.10403571434,67891.84999999999,1,target_25pct,43.268161118683764,23.224892957565082,0.23224892957565083,2026-02-05 15:25:00+00:00,15,Thursday,target_25pct,2026-02
LONG,2026-02-05 23:55:00+00:00,2026-02-05 23:58:00+00:00,63012.45,62811.76285714286,62811.76285714286,63294.755,4,stop,-31.84880810968934,-51.81695930157965,-0.5181695930157966,2026-02-05 23:55:00+00:00,23,Thursday,stop,2026-02
LONG,2026-02-06 00:01:00+00:00,2026-02-06 00:01:00+00:00,63047.61,62821.91457142849,62821.91457142849,63308.1275,1,stop,-35.797618430184905,-55.76182081175472,-0.5576182081175471,2026-02-06 00:01:00+00:00,0,Friday,stop,2026-02
LONG,2026-02-06 00:17:00+00:00,2026-02-06 00:17:00+00:00,60677.13,61110.11,60044.67089285736,61110.11,1,target_25pct,71.3580223718563,51.28666434948444,0.5128666434948445,2026-02-06 00:17:00+00:00,0,Friday,target_25pct,2026-02
LONG,2026-02-06 00:22:00+00:00,2026-02-06 00:23:00+00:00,60754.19,61011.87,60005.46671428601,61011.87,2,target_25pct,42.413535593183006,22.371122057589822,0.2237112205758982,2026-02-06 00:22:00+00:00,0,Friday,target_25pct,2026-02
SHORT,2026-02-06 00:41:00+00:00,2026-02-06 00:45:00+00:00,62868.52,63489.17085714267,63489.17085714267,62497.9875,5,stop,-98.7220404015674,-118.82076244196897,-1.1882076244196897,2026-02-06 00:41:00+00:00,0,Friday,stop,2026-02
SHORT,2026-02-06 00:48:00+00:00,2026-02-06 00:51:00+00:00,62804.09,63231.059107142835,63231.059107142835,62300.325,4,stop,-67.98428368961939,-88.052267973309,-0.8805226797330901,2026-02-06 00:48:00+00:00,0,Friday,stop,2026-02
SHORT,2026-02-06 00:56:00+00:00,2026-02-06 01:04:00+00:00,63500.01,64023.000535714265,64023.000535714265,63137.1025,9,stop,-82.3607013155216,-102.44306201683712,-1.024430620168371,2026-02-06 00:56:00+00:00,0,Friday,stop,2026-02
SHORT,2026-02-06 01:07:00+00:00,2026-02-06 01:07:00+00:00,64087.59,64284.938035714484,64284.938035714484,63688.995,1,stop,-30.793486806804125,-50.824280293610926,-0.5082428029361092,2026-02-06 01:07:00+00:00,1,Friday,stop,2026-02
