side,entry_time,exit_time,entry,exit,stop,target,bars_held,reason,gross_pnl,net_pnl,ret_on_capital_pct
LONG,2026-04-07 04:23:00+00:00,2026-04-07 04:23:00+00:00,24204.5,24207.8125,24197.833035714284,24207.8125,1,target_25pct,6.625,4.225,0.042249999999999996
SHORT,2026-04-07 04:28:00+00:00,2026-04-07 04:29:00+00:00,24227.25,24233.72857142857,24233.72857142857,24222.125,2,stop,-12.95714285714348,-15.357142857143481,-0.1535714285714348
SHORT,2026-04-07 04:39:00+00:00,2026-04-07 04:43:00+00:00,24239.75,24234.5,24250.614285714284,24234.5,5,target_25pct,10.5,8.1,0.08099999999999999
SHORT,2026-04-07 04:52:00+00:00,2026-04-07 05:06:00+00:00,24251.25,24243.125,24260.102678571428,24243.125,15,target_25pct,16.25,13.85,0.13849999999999998
LONG,2026-04-07 05:33:00+00:00,2026-04-07 05:36:00+00:00,24220.25,24210.86875,24210.86875,24225.875,4,stop,-18.76249999999709,-21.162499999997088,-0.21162499999997086
LONG,2026-04-07 05:39:00+00:00,2026-04-07 05:41:00+00:00,24217.25,24209.441071428573,24209.441071428573,24224.75,3,stop,-15.617857142853609,-18.017857142853607,-0.18017857142853608
SHORT,2026-04-07 07:48:00+00:00,2026-04-07 07:49:00+00:00,24242.0,24237.9375,24250.48125,24237.9375,2,target_25pct,8.125,5.725,0.057249999999999995
SHORT,2026-04-07 08:18:00+00:00,2026-04-07 08:19:00+00:00,24316.25,24334.095535714285,24334.095535714285,24301.1875,2,stop,-35.69107142856956,-38.091071428569556,-0.38091071428569556
SHORT,2026-04-07 08:28:00+00:00,2026-04-07 08:31:00+00:00,24338.25,24355.128571428573,24355.128571428573,24318.875,4,stop,-33.75714285714639,-36.15714285714639,-0.3615714285714639
SHORT,2026-04-07 08:40:00+00:00,2026-04-07 08:48:00+00:00,24364.5,24348.125,24375.875,24348.125,9,target_25pct,32.75,30.35,0.3035
SHORT,2026-04-07 09:29:00+00:00,2026-04-07 09:29:00+00:00,24399.75,24396.4375,24416.682142857142,24396.4375,1,target_25pct,6.625,4.225,0.042249999999999996
LONG,2026-04-07 09:49:00+00:00,2026-04-07 09:49:00+00:00,24386.0,24388.9375,24374.49732142857,24388.9375,1,target_25pct,5.875,3.475,0.034749999999999996
LONG,2026-04-07 10:28:00+00:00,2026-04-07 10:28:00+00:00,24339.25,24342.0,24314.280357142856,24342.0,1,target_25pct,5.5,3.1,0.031
