time,asset,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,PriceUSD,SplyCur,TxCnt
2021-08-23 00:00:00+00:00,btc,973417,2.420040085444,932079739908.4381,152339630.2737944,49590.8763676213,18795387.54263694,271010
2021-08-24 00:00:00+00:00,btc,945668,2.33794635096,900831282245.6066,119087831.92106985,47925.8622127411,18796350.04263148,263660
2021-08-25 00:00:00+00:00,btc,867743,2.379019545564,921113698122.0674,131199199.26766804,49002.3166049094,18797350.04262602,264966
2021-08-26 00:00:00+00:00,btc,818959,2.287786761638,887096494654.2286,127844614.26004224,47190.3449929866,18798262.54260418,254481
2021-08-27 00:00:00+00:00,btc,864176,2.375147501066,922070878172.4023,127844614.26004224,49048.4755891292,18799175.04259326,260937
2021-08-28 00:00:00+00:00,btc,726381,2.363961726236,918429163463.365,123466374.33066265,48852.4687995324,18800056.29259326,212867
2021-08-29 00:00:00+00:00,btc,685753,2.367277866365,920279421677.584,136601094.11880136,48948.3479579193,18801031.29259326,196139
2021-08-30 00:00:00+00:00,btc,910173,2.277961082403,886052810980.3136,118212485.65884729,47125.7685189947,18801875.04259326,249956
2021-08-31 00:00:00+00:00,btc,930055,2.280110865221,887852829053.0802,126093318.03610376,47219.2443424898,18802775.04259326,273720
2021-09-01 00:00:00+00:00,btc,954959,2.346384601556,915521308402.3389,119963781.88278574,48688.5375572764,18803631.2925878,277500
2021-09-02 00:00:00+00:00,btc,1026339,2.375035051723,928373472804.1525,130471557.96548332,49369.5862746932,18804562.5425878,293611
2021-09-03 00:00:00+00:00,btc,1008068,2.395390356338,937651654078.7664,129595910.48398069,49860.5341635301,18805487.54258234,278164
2021-09-04 00:00:00+00:00,btc,776022,2.395772281636,938810353594.9012,135725446.63729873,49919.577563647,18806456.29258234,227677
2021-09-05 00:00:00+00:00,btc,735688,2.480946695916,973242843766.6514,143606279.0145552,51747.6438565167,18807481.29258234,206820
2021-09-06 00:00:00+00:00,btc,968860,2.51931377876,990093469707.9805,150611462.64937586,52640.5883740503,18808556.29258234,269949
2021-09-07 00:00:00+00:00,btc,938525,2.245742480847,881308435814.7441,134093473.52179764,46854.4006028638,18809512.54258234,277913
2021-09-08 00:00:00+00:00,btc,907794,2.213572688033,868814300650.1482,129989982.27183735,46187.9757306254,18810400.04258234,271871
2021-09-09 00:00:00+00:00,btc,937415,2.222094260363,873759807785.6561,125412870.50778995,46448.7748290473,18811256.29258234,275020
2021-09-10 00:00:00+00:00,btc,906178,2.142454311237,842129122357.554,124497447.36405551,44765.2755762712,18812106.29258234,260963
2021-09-11 00:00:00+00:00,btc,823454,2.157808262825,848441215860.3611,135482517.1796192,45098.5916447691,18813031.29249204,210848
