time,btc_A_MVRV_Z,btc_B_AddrMomentum,btc_C_HashRibbon,btc_D_Ensemble,btc_Buy_and_Hold,eth_A_MVRV_Z,eth_B_AddrMomentum,eth_C_HashRibbon,eth_D_Ensemble,eth_Buy_and_Hold
2020-10-28 00:00:00+00:00,37796.822001716486,20115.066871909305,20601.516875932633,42164.36309719567,14024.100929130278,8848.007978223071,9904.120720946035,2953.09838629949,5819.938125980526,4220.855945795552
2020-10-29 00:00:00+00:00,38322.63260791312,20115.066871909305,20888.114941680393,42750.93276485251,14219.19725258768,8848.007978223071,9850.25992087741,2937.038783811904,5788.288014613016,4197.901997169484
2020-10-30 00:00:00+00:00,38686.880271713286,20115.066871909305,20867.22682673871,42708.181832087655,14354.347398282509,8848.007978223071,9768.968621315471,2912.8002660958537,5740.518975143367,4163.257945994724
2020-10-31 00:00:00+00:00,39266.865179251334,20115.066871909305,20867.22682673871,42708.181832087655,14569.544508778108,8848.007978223071,9845.085451448258,2935.4959192051683,5785.247351765605,4195.696784746116
2020-11-01 00:00:00+00:00,39066.83933645684,20115.066871909305,20867.22682673871,42708.181832087655,14495.327088920509,8848.007978223071,10074.096755213726,3003.7799123681216,5919.820794034576,4293.294920955074
2020-11-02 00:00:00+00:00,38664.892875737976,20115.066871909305,20867.22682673871,42708.181832087655,14346.189213440608,8848.007978223071,9775.384905657103,2914.7134009888114,5744.289363138336,4165.992384788065
2020-11-03 00:00:00+00:00,39806.307719918565,20115.066871909305,20867.22682673871,42708.181832087655,14769.698813694014,8848.007978223071,9895.075835098962,2950.4014848226357,5814.623098279459,4217.001271435017
2020-11-04 00:00:00+00:00,40182.36910589291,20115.066871909305,20867.22682673871,42708.181832087655,14909.23231289173,8848.007978223071,10232.444963743,3050.994385238213,6012.870626722017,4360.77844587449
2020-11-05 00:00:00+00:00,44383.76624510685,20115.066871909305,20867.22682673871,42708.181832087655,16468.115160794125,8848.007978223071,10619.58452095562,3166.4272675595503,6240.36464992509,4525.766368372011
2020-11-06 00:00:00+00:00,44419.331456863016,20115.066871909305,20867.22682673871,42708.181832087655,16481.311246941572,8848.007978223071,11624.262831632095,3465.990851405427,6830.741703012264,4953.931830073449
2020-11-07 00:00:00+00:00,42278.9405292965,20115.066871909305,20867.22682673871,42708.181832087655,15687.142403999578,8848.007978223071,11123.184157426507,3316.584895450533,6536.293870408875,4740.386280607449
2020-11-08 00:00:00+00:00,44080.983576648905,20115.066871909305,20867.22682673871,42708.181832087655,16355.770935085073,8848.007978223071,11596.958585504588,3457.849580973642,6814.696964916275,4942.295533136052
2020-11-09 00:00:00+00:00,43568.561406138375,20115.066871909305,20867.22682673871,42708.181832087655,16165.642245502722,8848.007978223071,11321.211043464691,3375.6303063537457,6652.660002900114,4824.77973489905
